J1      J2      J3      J4      J5      J6      R1      R2      R3
0.2102	-0.473	-0.3784	0.6307	0.473	0.3154	0	0	0
0.2134	-0.4802	-0.3842	0.6403	0.4802	0.3201	0	0	0
0.2166	-0.4873	-0.3899	0.6498	0.4873	0.3249	0	0	0
0.2198	-0.4944	-0.3956	0.6593	0.4944	0.3296	0	0	0
0.2229	-0.5015	-0.4012	0.6687	0.5015	0.3343	0	0	0
0.226	-0.5085	-0.4068	0.678	0.5085	0.339	0	0	0
0.2291	-0.5155	-0.4124	0.6873	0.5155	0.3437	0	0	0
0.2322	-0.5224	-0.4179	0.6965	0.5224	0.3483	0	0	0
0.2352	-0.5293	-0.4234	0.7057	0.5293	0.3528	0	0	0
0.2383	-0.5361	-0.4289	0.7148	0.5361	0.3574	0	0	0
0.2413	-0.5428	-0.4343	0.7238	0.5428	0.3619	0	0	0
0.2442	-0.5495	-0.4396	0.7327	0.5495	0.3664	0	0	0
0.2472	-0.5562	-0.4449	0.7416	0.5562	0.3708	0	0	0
0.2501	-0.5627	-0.4502	0.7503	0.5627	0.3752	0	0	0
0.253	-0.5693	-0.4554	0.759	0.5693	0.3795	0	0	0
0.2559	-0.5757	-0.4605	0.7676	0.5757	0.3838	0	0	0
0.2587	-0.5821	-0.4656	0.7761	0.5821	0.388	0	0	0
0.2615	-0.5883	-0.4707	0.7845	0.5883	0.3922	0	0	0
0.2642	-0.5946	-0.4756	0.7927	0.5946	0.3964	0	0	0
0.267	-0.6007	-0.4806	0.8009	0.6007	0.4005	0	0	0
0.2697	-0.6068	-0.4854	0.809	0.6068	0.4045	0	0	0
0.2723	-0.6127	-0.4902	0.817	0.6127	0.4085	0	0	0
0.2749	-0.6186	-0.4949	0.8248	0.6186	0.4124	0	0	0
0.2775	-0.6244	-0.4995	0.8326	0.6244	0.4163	0	0	0
0.2801	-0.6301	-0.5041	0.8402	0.6301	0.4201	0	0	0
0.2826	-0.6358	-0.5086	0.8477	0.6358	0.4238	0	0	0
0.285	-0.6413	-0.513	0.8551	0.6413	0.4275	0	0	0
0.2874	-0.6467	-0.5174	0.8623	0.6467	0.4312	0	0	0
0.2898	-0.6521	-0.5217	0.8694	0.6521	0.4347	0	0	0
0.2921	-0.6573	-0.5259	0.8764	0.6573	0.4382	0	0	0
0.2944	-0.6625	-0.53	0.8833	0.6625	0.4416	0	0	0
0.2967	-0.6675	-0.534	0.89	0.6675	0.445	0	0	0
0.2989	-0.6724	-0.538	0.8966	0.6724	0.4483	0	0	0
0.301	-0.6773	-0.5418	0.9031	0.6773	0.4515	0	0	0
